別紙　学部・研究科等組織ID一覧（2024年度）,,,,,
学部・研究科等組織ID,学校名,学部・研究科名称,所在地,課程区分,昼夜区分
0100-01-01-1K08-00-1,北海道大学,水産学部,北海道,,昼間
0100-01-01-2K28-02-1,北海道大学,水産科学院,北海道,博士課程（前期）,昼間
0100-01-01-2K28-02-1,北海道大学,水産科学院(修士課程),北海道,博士課程（前期）,昼間
0100-01-01-2K28-02-1,北海道大学,水産科学院(博士課程(前期)),北海道,博士課程（前期）,昼間
0100-01-01-4K28-03-1,北海道大学,水産科学院,北海道,博士課程（後期）,昼間
0100-01-01-4K28-03-1,北海道大学,水産科学院（博士課程(後期)）,北海道,博士課程（後期）,昼間
0100-57-01-1A01-00-1,北海道大学,文学部,札幌市,,昼間
0100-57-01-1A58-01-1,北海道大学,文学院,札幌市,修士課程,昼間
0100-57-01-1C05-00-1,北海道大学,法学部,札幌市,,昼間
0100-57-01-1C09-00-1,北海道大学,経済学部,札幌市,,昼間
0100-57-01-1E01-00-1,北海道大学,理学部,札幌市,,昼間
0100-57-01-1G01-00-1,北海道大学,工学部,札幌市,,昼間
0100-57-01-1G60-01-1,北海道大学,工学院,札幌市,修士課程,昼間
0100-57-01-1G60-01-1,北海道大学,工学院（共同資源工学専攻）（修士課程）,札幌市,修士課程,昼間
0100-57-01-1G78-01-1,北海道大学,情報科学院,札幌市,修士課程,昼間
0100-57-01-1G78-01-1,北海道大学,大学院情報科学院,札幌市,修士課程,昼間
0100-57-01-1K01-00-1,北海道大学,農学部,札幌市,,昼間
0100-57-01-1K01-00-1,北海道大学,農学部（群）,札幌市,,昼間
0100-57-01-1K08-00-1,北海道大学,水産学部,札幌市,,昼間
0100-57-01-1K36-01-1,北海道大学,国際食資源学院,札幌市,修士課程,昼間
0100-57-01-1M04-00-1,北海道大学,医学部（修業年限４年）,札幌市,,昼間
0100-57-01-1M04-00-1,北海道大学,医学部(保健学科),札幌市,,昼間
0100-57-01-1M10-00-1,北海道大学,薬学部（４年制）,札幌市,,昼間
0100-57-01-1M10-00-1,北海道大学,薬学部（修業年限４年）,札幌市,,昼間
0100-57-01-1M10-00-1,北海道大学,薬学部(薬科学科),札幌市,,昼間
0100-57-01-1M81-01-1,北海道大学,医学院,札幌市,修士課程,昼間
0100-57-01-1M81-01-1,北海道大学,医学院（修士課程）,札幌市,修士課程,昼間
0100-57-01-1S01-00-1,北海道大学,教育学部,札幌市,,昼間
0100-57-01-1S01-00-1,北海道大学,教育学部（教員養成以外）,札幌市,,昼間
0100-57-01-1Y68-01-1,北海道大学,生命科学院,札幌市,修士課程,昼間
0100-57-01-1Z06-00-1,北海道大学,総合教育部,札幌市,,昼間
0100-57-01-1Z99-00-1,北海道大学,いずれの学部にも所属しない聴講生・研究生等,札幌市,,昼間
0100-57-01-2C01-02-1,北海道大学,法学研究科,札幌市,博士課程（前期）,昼間
0100-57-01-2C01-02-1,北海道大学,法学研究科(修士課程),札幌市,博士課程（前期）,昼間
0100-57-01-2C01-02-1,北海道大学,法学研究科(博士課程(前期)),札幌市,博士課程（前期）,昼間
0100-57-01-2D60-02-1,北海道大学,経済学院,札幌市,博士課程（前期）,昼間
0100-57-01-2D60-02-1,北海道大学,経済学院（修士課程）,札幌市,博士課程（前期）,昼間
0100-57-01-2D60-02-1,北海道大学,経済学院(博士課程(前期)),札幌市,博士課程（前期）,昼間
0100-57-01-2E28-02-1,北海道大学,理学院,札幌市,博士課程（前期）,昼間
0100-57-01-2E28-02-1,北海道大学,理学院(修士課程),札幌市,博士課程（前期）,昼間
0100-57-01-2E28-02-1,北海道大学,理学院(博士課程(前期)),札幌市,博士課程（前期）,昼間
0100-57-01-2E31-02-1,北海道大学,総合化学院,札幌市,博士課程（前期）,昼間
0100-57-01-2E31-02-1,北海道大学,総合化学院(修士課程),札幌市,博士課程（前期）,昼間
0100-57-01-2E31-02-1,北海道大学,総合化学院(博士課程(前期)),札幌市,博士課程（前期）,昼間
0100-57-01-2G60-02-1,北海道大学,工学院,札幌市,博士課程（前期）,昼間
0100-57-01-2G60-02-1,北海道大学,工学院(修士課程),札幌市,博士課程（前期）,昼間
0100-57-01-2G60-02-1,北海道大学,工学院(博士課程(前期)),札幌市,博士課程（前期）,昼間
0100-57-01-2K30-02-1,北海道大学,農学院,札幌市,博士課程（前期）,昼間
0100-57-01-2K30-02-1,北海道大学,農学院(修士課程),札幌市,博士課程（前期）,昼間
0100-57-01-2K30-02-1,北海道大学,農学院(博士課程(前期)),札幌市,博士課程（前期）,昼間
0100-57-01-2M56-02-1,北海道大学,保健科学院,札幌市,博士課程（前期）,昼間
0100-57-01-2M56-02-1,北海道大学,保健科学院(修士課程),札幌市,博士課程（前期）,昼間
0100-57-01-2M56-02-1,北海道大学,保健科学院(博士課程(前期)),札幌市,博士課程（前期）,昼間
