大学ID一覧,,,,,
大学ID,学校名,2021年度,2022年度,2023年度,2024年度
0100,北海道大学,○,○,○,○
0104,北海道教育大学,○,○,○,○
0108,室蘭工業大学,○,○,○,○
0112,小樽商科大学,○,○,○,○
0116,帯広畜産大学,○,○,○,○
0120,北見工業大学,○,○,○,○
0124,弘前大学,○,○,○,○
0128,岩手大学,○,○,○,○
0132,東北大学,○,○,○,○
0136,宮城教育大学,○,○,○,○
0140,秋田大学,○,○,○,○
0144,山形大学,○,○,○,○
0148,福島大学,○,○,○,○
0152,茨城大学,○,○,○,○
0156,宇都宮大学,○,○,○,○
0160,群馬大学,○,○,○,○
0164,埼玉大学,○,○,○,○
0168,千葉大学,○,○,○,○
0172,東京大学,○,○,○,○
0176,東京医科歯科大学,○,○,○,○
0180,東京外国語大学,○,○,○,○
0184,東京芸術大学,○,○,○,○
0192,東京工業大学,○,○,○,○
0204,お茶の水女子大学,○,○,○,○
0208,東京学芸大学,○,○,○,○
0212,東京農工大学,○,○,○,○
0216,電気通信大学,○,○,○,○
0220,一橋大学,○,○,○,○
0224,横浜国立大学,○,○,○,○
0228,新潟大学,○,○,○,○
0236,金沢大学,○,○,○,○
0248,信州大学,○,○,○,○
0252,岐阜大学,○,○,○,○
0256,静岡大学,○,○,○,○
0260,名古屋大学,○,○,○,○
0264,名古屋工業大学,○,○,○,○
0268,愛知教育大学,○,○,○,○
0272,三重大学,○,○,○,○
0276,滋賀大学,○,○,○,○
0280,京都大学,○,○,○,○
0284,京都教育大学,○,○,○,○
0288,京都工芸繊維大学,○,○,○,○
0292,大阪大学,○,○,○,○
0300,大阪教育大学,○,○,○,○
0304,神戸大学,○,○,○,○
0312,奈良教育大学,○,○,○,○
0316,奈良女子大学,○,○,○,○
0320,和歌山大学,○,○,○,○
0324,鳥取大学,○,○,○,○
0332,岡山大学,○,○,○,○
0336,広島大学,○,○,○,○
0340,山口大学,○,○,○,○
0344,徳島大学,○,○,○,○
0352,愛媛大学,○,○,○,○
0360,九州工業大学,○,○,○,○
0364,福岡教育大学,○,○,○,○
0368,九州大学,○,○,○,○
0380,長崎大学,○,○,○,○
0384,熊本大学,○,○,○,○
0396,鹿児島大学,○,○,○,○
0400,琉球大学,○,○,○,○
0404,旭川医科大学,○,○,○,○
0408,筑波大学,○,○,○,○
0412,浜松医科大学,○,○,○,○
0420,滋賀医科大学,○,○,○,○
0432,長岡技術科学大学,○,○,○,○
0436,豊橋技術科学大学,○,○,○,○
0452,上越教育大学,○,○,○,○
0464,兵庫教育大学,○,○,○,○
0476,鳴門教育大学,○,○,○,○
0480,鹿屋体育大学,○,○,○,○
0484,総合研究大学院大学,○,○,○,○
0488,北陸先端科学技術大学院大学,○,○,○,○
0492,奈良先端科学技術大学院大学,○,○,○,○
0496,政策研究大学院大学,○,○,○,○
0500,山梨大学,○,○,○,○
0504,東京海洋大学,○,○,○,○
0508,福井大学,○,○,○,○
0512,島根大学,○,○,○,○
0516,香川大学,○,○,○,○
0520,高知大学,○,○,○,○
0524,佐賀大学,○,○,○,○
0528,大分大学,○,○,○,○
0532,宮崎大学,○,○,○,○
0536,富山大学,○,○,○,○
0540,筑波技術大学,○,○,○,○
1100,札幌医科大学,‐,‐,‐,‐
1102,公立はこだて未来大学,○,○,○,○
1104,釧路公立大学,○,○,○,○
1105,名寄市立大学,○,○,○,○
1106,札幌市立大学,○,○,○,○
1107,公立千歳科学技術大学,○,○,○,○
1112,青森公立大学,○,○,○,○
1113,青森県立保健大学,○,○,○,○
1114,岩手県立大学,○,○,○,○
1116,宮城大学,○,○,○,○
1120,秋田県立大学,○,○,○,○
1121,国際教養大学,○,○,○,○
